Type,adjusted_time_hours,Price
ask,695.0,186.3428366075707
ask,696.0,186.12735300952824
ask,697.0,189.210786739238
ask,698.0,191.66558522585476
ask,699.0,191.1601075531655
ask,700.0,194.29188255613127
ask,701.0,191.9672993368397
ask,702.0,188.95924841386042
ask,703.0,192.16588147780809
ask,704.0,195.93451637090726
ask,705.0,194.86304496690252
ask,706.0,192.44134432466709
ask,707.0,186.87621696801114
ask,708.0,187.83152289669863
ask,709.0,190.25121520106055
ask,710.0,196.2701769529564
ask,711.0,193.89761904761906
ask,712.0,193.90336516598452
ask,713.0,190.91897891231966
ask,714.0,188.5218181818182
ask,715.0,185.3233830845771
ask,716.0,184.47578692493946
ask,717.0,187.29281411359725
ask,718.0,193.2791833111407
ask,719.0,195.05583964000817
ask,720.0,194.48325358851676
ask,721.0,198.1026794445531
ask,722.0,200.1034595300261
ask,723.0,218.04174416201695
ask,724.0,217.14188422247446
ask,725.0,215.7176262527019
ask,726.0,213.98613951374688
ask,727.0,208.29943502824858
ask,728.0,204.39851380042464
ask,729.0,208.05956932984503
ask,730.0,208.3207192138825
ask,731.0,204.4342492639843
ask,732.0,199.30610743193526
ask,733.0,197.15840924239058
ask,734.0,195.06140567200987
ask,735.0,193.7564226854096
ask,736.0,187.60116337885685
ask,737.0,186.70180866254165
ask,738.0,186.21257980610073
ask,739.0,184.66130144860887
ask,740.0,184.4419331570089
ask,741.0,182.75204765450485
ask,742.0,182.3452067893856
ask,743.0,179.25148771021992
ask,744.0,179.88404133180254
ask,745.0,177.64290805416962
ask,746.0,178.36058648111333
ask,747.0,178.66582103321034
ask,748.0,176.24994288325337
ask,749.0,176.18490066225166
ask,750.0,175.25156132900324
ask,751.0,175.1935143685737
ask,752.0,176.07005461885538
ask,753.0,175.9405756731662
ask,754.0,172.88930071658018
ask,755.0,172.42335025380711
ask,756.0,172.70338776504997
ask,757.0,174.97848191061718
ask,758.0,175.21188446969697
ask,759.0,175.88676083313382
ask,760.0,177.1428928303772
ask,761.0,175.67243083003953
ask,762.0,175.7407027442934
ask,763.0,176.93013698630136
ask,764.0,178.17214471506267
ask,765.0,177.83936324167874
ask,766.0,177.37340210809597
ask,767.0,173.21395939086295
ask,768.0,171.63728727457456
ask,769.0,169.17536231884057
ask,770.0,170.1261523532266
ask,771.0,165.72979552093477
ask,772.0,164.6695258517989
ask,773.0,162.89088937093277
ask,774.0,159.2866323907455
ask,775.0,157.0927988121752
ask,776.0,155.66949563530554
ask,777.0,151.86226231106778
ask,778.0,151.80146537461593
