Time,Type,Price,Volume
615.288,bid,119,6
616.187,ask,778,5
616.187,bid,48,6
617.024,ask,788,5
617.024,bid,48,6
618.016,ask,400,5
618.016,bid,344,5
619.008,ask,361,6
619.008,bid,339,6
620.0,ask,444,4
620.0,bid,338,8
621.116,ask,361,6
621.116,bid,349,5
622.077,ask,429,2
622.077,bid,345,3
623.007,ask,712,5
623.007,bid,339,6
624.03,ask,493,4
624.03,bid,340,2
625.084,ask,669,2
625.084,bid,334,2
626.076,ask,733,5
626.076,bid,42,1
627.037,ask,733,4
627.037,bid,39,2
628.029,ask,733,4
628.029,bid,332,2
629.083,ask,759,4
629.083,bid,249,1
630.106,ask,759,4
630.106,bid,90,1
631.129,ask,719,4
631.129,bid,46,2
632.028,ask,356,2
632.028,bid,98,11
