Type,adjusted_time_minutes,ASK Price Predicted
ask,10166,95.90407
ask,10167,95.73029
ask,10168,96.259796
ask,10169,95.96799
ask,10170,95.7792
ask,10171,95.66558
ask,10172,95.58483
ask,10173,95.52332
ask,10174,95.43074
ask,10175,95.41475
ask,10176,95.40273
ask,10177,95.255905
ask,10178,95.29664
ask,10179,95.21586
ask,10180,95.15233
ask,10181,94.99232
ask,10182,95.76183
ask,10183,95.62043
ask,10184,95.34702
ask,10185,95.36863
ask,10186,95.381744
ask,10187,95.381195
ask,10188,95.69947
ask,10189,95.90862
ask,10190,95.26109
ask,10191,95.95739
ask,10192,96.41464
ask,10193,96.70337
ask,10194,95.81569
ask,10195,96.34719
ask,10196,96.695435
ask,10197,96.90365
ask,10198,97.04853
ask,10199,97.15716
ask,10200,97.23664
ask,10201,97.29247
ask,10202,96.83473
ask,10203,96.710526
ask,10204,96.94829
ask,10205,97.089485
ask,10206,97.17745
ask,10207,97.24252
ask,10208,97.29223
ask,10209,97.32854
ask,10210,97.35402
ask,10211,97.371574
ask,10212,97.383644
ask,10213,97.3919
ask,10214,97.397545
ask,10215,97.4014
ask,10216,97.404
ask,10217,97.405754
ask,10218,97.406944
ask,10219,96.96108
ask,10220,97.11739
ask,10221,96.79551
ask,10222,96.99517
ask,10223,97.12403
ask,10224,96.88121
ask,10225,96.72859
ask,10226,96.955215
ask,10227,97.09649
ask,10228,96.66951
ask,10229,96.91346
ask,10230,96.75161
ask,10231,96.96102
ask,10232,96.77676
ask,10233,96.97903
ask,10234,97.11405
ask,10235,96.87798
ask,10236,96.40774
ask,10237,96.10302
ask,10238,95.318565
ask,10239,96.00818
ask,10240,96.442154
ask,10241,96.712395
ask,10242,96.909294
ask,10243,96.89784
ask,10244,97.06407
ask,10245,97.1768
ask,10246,97.2497
ask,10247,97.3
ask,10248,97.012985
ask,10249,97.15056
ask,10250,96.915115
ask,10251,97.07759
ask,10252,97.18242
ask,10253,97.24729
ask,10254,97.29379
ask,10255,97.23646
ask,10256,97.18646
ask,10257,97.262054
ask,10258,97.30884
ask,10259,97.33786
ask,10260,97.35874
ask,10261,97.374405
ask,10262,97.062935
ask,10263,97.183464
ask,10264,97.25908
ask,10265,97.301315
ask,10266,97.33091
ask,10267,97.35402
ask,10268,97.37141
ask,10269,97.061005
ask,10270,97.18221
ask,10271,97.258316
ask,10272,96.736916
ask,10273,96.64022
ask,10274,96.89853
ask,10275,96.89219
ask,10276,97.046844
ask,10277,96.83247
ask,10278,97.01991
ask,10279,97.01515
ask,10280,96.81534
ask,10281,97.01081
ask,10282,96.81454
ask,10283,97.005875
ask,10284,96.80975
ask,10285,97.00281
ask,10286,97.13066
ask,10287,97.21209
ask,10288,96.67949
ask,10289,96.92819
ask,10290,96.76502
ask,10291,96.96966
ask,10292,97.10432
ask,10293,97.1922
ask,10294,97.25591
ask,10295,97.303246
ask,10296,97.014595
ask,10297,96.98934
ask,10298,97.132225
ask,10299,97.217064
ask,10300,97.27098
ask,10301,97.31101
ask,10302,97.34133
ask,10303,97.36331
ask,10304,97.25744
ask,10305,97.31025
ask,10306,97.343765
ask,10307,97.04027
ask,10308,97.16626
ask,10309,97.24665
ask,10310,97.292725
ask,10311,97.3251
